Wall time,Step,Value
1717179355.8807847,9,0.17350000143051147
1717179364.5293565,19,0.2248000055551529
1717179373.2777548,29,0.2529999911785126
1717179382.223663,39,0.2689000070095062
1717179390.7320921,49,0.3447999954223633
1717179400.640062,59,0.3571999967098236
1717179409.4778008,69,0.40459999442100525
1717179417.7145686,79,0.44839999079704285
1717179428.358152,89,0.4708999991416931
1717179439.2116604,99,0.5171999931335449
1717179453.5200012,109,0.5281000137329102
1717179468.3588617,119,0.5440000295639038
1717179483.095113,129,0.565500020980835
1717179498.290283,139,0.5986999869346619
1717179513.304721,149,0.597599983215332
1717179528.3328452,159,0.5521000027656555
1717179540.234738,169,0.5756999850273132
1717179552.8176174,179,0.5498999953269958
1717179565.7578182,189,0.5896000266075134
1717179578.3069463,199,0.6712999939918518
1717179590.6530952,209,0.6419000029563904
1717179602.8571455,219,0.7028999924659729
1717179615.9427786,229,0.7181000113487244
1717179628.4787922,239,0.6984999775886536
1717179642.3302531,249,0.6812999844551086
1717179654.916303,259,0.7343000173568726
1717179667.3641462,269,0.6848000288009644
1717179679.4328089,279,0.7178999781608582
1717179692.250877,289,0.7687000036239624
1717179703.0314608,299,0.7699000239372253
1717179714.25595,309,0.7350999712944031
1717179726.8960018,319,0.7717000246047974
1717179736.0366483,329,0.7572000026702881
1717179744.8073041,339,0.7465999722480774
1717179753.2026293,349,0.7416999936103821
1717179764.3563302,359,0.805400013923645
1717179774.6200264,369,0.7531999945640564
1717179784.600718,379,0.8029000163078308
1717179793.936932,389,0.8001000285148621
1717179803.645161,399,0.8180000185966492
1717179813.5815427,409,0.7925999760627747
1717179823.1011689,419,0.8083000183105469
1717179832.5969708,429,0.8034999966621399
1717179841.761479,439,0.7800999879837036
1717179851.7165992,449,0.8227999806404114
1717179861.438182,459,0.8331999778747559
1717179871.4248052,469,0.796999990940094
1717179881.0907583,479,0.7817000150680542
1717179890.4039412,489,0.7833999991416931
1717179899.7825317,499,0.815500020980835
1717179908.3664844,509,0.8130999803543091
1717179917.202205,519,0.8122000098228455
1717179926.5534909,529,0.8191999793052673
1717179935.4877162,539,0.8317000269889832
1717179945.871487,549,0.7748000025749207
1717179957.6358814,559,0.8364999890327454
1717179970.3643653,569,0.8266000151634216
1717179979.2748544,579,0.8389000296592712
1717179988.6452808,589,0.8260999917984009
1717179998.6250262,599,0.840499997138977
1717180010.758659,609,0.8120999932289124
1717180021.7965858,619,0.8281999826431274
1717180030.6101851,629,0.8331999778747559
1717180039.3118575,639,0.8374000191688538
1717180048.628977,649,0.8337000012397766
1717180058.358593,659,0.8428999781608582
1717180067.6825705,669,0.8464000225067139
1717180076.954282,679,0.8449000120162964
1717180087.251102,689,0.8611999750137329
1717180097.329266,699,0.8429999947547913
1717180107.2668412,709,0.8532999753952026
1717180117.987651,719,0.8622999787330627
1717180128.0659063,729,0.8409000039100647
1717180137.9069297,739,0.8574000000953674
1717180146.8974936,749,0.8521999716758728
1717180157.0613868,759,0.8626999855041504
1717180167.281325,769,0.848800003528595
1717180176.0597775,779,0.8589000105857849
1717180185.0167148,789,0.8601999878883362
1717180193.718721,799,0.8687000274658203
1717180204.0729086,809,0.8669999837875366
1717180215.603027,819,0.8597999811172485
1717180224.936535,829,0.8626000285148621
1717180233.7073486,839,0.8693000078201294
1717180242.3623793,849,0.8780999779701233
1717180251.7090287,859,0.8682000041007996
1717180260.8851352,869,0.8615000247955322
1717180270.9088154,879,0.8762999773025513
1717180280.6255136,889,0.8716999888420105
1717180291.241053,899,0.8779000043869019
1717180299.9692137,909,0.8791999816894531
1717180308.5857594,919,0.8783000111579895
1717180318.8885734,929,0.8809999823570251
1717180328.6952229,939,0.8813999891281128
1717180338.5293293,949,0.8824999928474426
1717180347.850161,959,0.8801000118255615
1717180357.9262693,969,0.8801000118255615
1717180368.3825872,979,0.8823000192642212
1717180378.1632586,989,0.8822000026702881
1717180389.0549848,999,0.8830000162124634
