1717452353.48575,628000,4000.0
1717468156.980801,785000,5000.0
1717483073.520751,942000,6000.0
1717497002.1170619,1099000,7000.0
1717519809.0924363,1413000,9000.0
1717529928.0804036,1570000,10000.0
1717275946.850244,0,0.0
1717277155.652804,15600,100.0
1717277794.4888496,7800,50.0
1717280344.7737243,31200,200.0
1717281412.217621,46800,300.0
1717287487.1825547,4992,32.0
1717287326.033282,2496,16.0
1717287435.1964247,1248,8.0
1717287497.96208,624,4.0
1717294448.3888795,93600,600.0
1717297730.0038571,140400,900.0
1717313128.5248885,204100,1300.0
1717377742.4926116,471000,3000.0
1717369489.4817693,345400,2200.0
