Wall time,Step,Value
1717169790.7336047,10,0.2012999951839447
1717169798.8175244,21,0.2890999913215637
1717169806.9058852,32,0.3366999924182892
1717169814.9096937,43,0.4142000079154968
1717169822.9032655,54,0.4413999915122986
1717169830.9173002,65,0.4526999890804291
1717169838.999861,76,0.49140000343322754
1717169847.0016248,87,0.4997999966144562
1717169855.0629532,98,0.5773000121116638
1717169863.0845687,109,0.5856999754905701
1717169871.191384,120,0.6065999865531921
1717169879.263549,131,0.644599974155426
1717169887.3498917,142,0.657800018787384
1717169895.399815,153,0.6873999834060669
1717169903.4516377,164,0.6862000226974487
1717169911.5933135,175,0.7105000019073486
1717169919.6963794,186,0.7121000289916992
1717169927.7910824,197,0.703000009059906
1717169935.917993,208,0.7315000295639038
1717169944.0368702,219,0.7318999767303467
1717169952.140719,230,0.7778000235557556
1717169960.2773619,241,0.7788000106811523
1717169968.4032378,252,0.7926999926567078
1717169976.6246567,263,0.7929999828338623
1717169984.773467,274,0.7766000032424927
1717169992.9751728,285,0.7815999984741211
1717170001.2084444,296,0.7882999777793884
1717170009.4120138,307,0.8240000009536743
1717170017.5125525,318,0.8195000290870667
1717170025.6291907,329,0.8303999900817871
1717170033.7211344,340,0.8248999714851379
1717170041.8052387,351,0.8237000107765198
1717170049.925885,362,0.8422999978065491
1717170058.1675096,373,0.8389000296592712
1717170066.2558022,384,0.8424999713897705
1717170074.408398,395,0.8432999849319458
1717170082.5457852,406,0.8349999785423279
1717170090.749026,417,0.796500027179718
1717170098.837558,428,0.824400007724762
1717170107.0156236,439,0.8417999744415283
1717170115.5182018,450,0.8537999987602234
1717170123.6600392,461,0.8482000231742859
1717170131.8098803,472,0.859000027179718
1717170140.0854473,483,0.8532999753952026
1717170148.2824216,494,0.8137000203132629
1717170156.5402923,505,0.8547000288963318
1717170164.7643745,516,0.8531000018119812
1717170172.9926405,527,0.8424000144004822
1717170181.2072449,538,0.8650000095367432
1717170189.4863822,549,0.8550999760627747
1717170197.7123,560,0.833899974822998
1717170205.8681698,571,0.8515999913215637
1717170214.129386,582,0.8665000200271606
1717170222.2931008,593,0.8531000018119812
1717170230.4433587,604,0.8632000088691711
1717170238.5933545,615,0.8565999865531921
1717170247.0592988,626,0.8525000214576721
1717170255.1737473,637,0.8659999966621399
1717170263.3228793,648,0.8689000010490417
1717170271.4769762,659,0.8526999950408936
1717170279.7096448,670,0.8676000237464905
1717170287.9216075,681,0.8209999799728394
1717170296.1358876,692,0.8511000275611877
1717170304.2782328,703,0.8690000176429749
1717170312.4318354,714,0.8636000156402588
1717170320.6617644,725,0.8579999804496765
1717170328.8159258,736,0.8726000189781189
1717170336.9432507,747,0.8729000091552734
1717170345.1808457,758,0.8690000176429749
1717170353.4030445,769,0.8748000264167786
1717170361.5457423,780,0.8611999750137329
1717170369.7615614,791,0.8774999976158142
1717170377.9085157,802,0.8848000168800354
1717170386.1131783,813,0.8758999705314636
1717170394.3563788,824,0.855400025844574
1717170402.5063453,835,0.883899986743927
1717170410.693581,846,0.8751999735832214
1717170418.8121362,857,0.8697999715805054
1717170426.9669144,868,0.8695999979972839
1717170435.112637,879,0.8784999847412109
1717170443.351564,890,0.8730000257492065
1717170451.5572345,901,0.868399977684021
1717170459.7089603,912,0.8741000294685364
1717170467.8362627,923,0.8776000142097473
1717170475.9794369,934,0.8569999933242798
1717170484.1306899,945,0.8664000034332275
1717170492.2455406,956,0.8830999732017517
1717170500.428382,967,0.8830000162124634
1717170508.620186,978,0.8496000170707703
1717170516.7504373,989,0.8738999962806702
1717170524.9367485,1000,0.8702999949455261
1717170533.0967526,1011,0.8690000176429749
1717170541.2485762,1022,0.879800021648407
1717170549.4053352,1033,0.8773999810218811
1717170557.5885375,1044,0.8691999912261963
1717170565.780425,1055,0.8607000112533569
1717170573.9273877,1066,0.8738999962806702
1717170582.1147065,1077,0.8776000142097473
1717170590.3420732,1088,0.8755999803543091
1717170598.5973926,1099,0.8777999877929688
