Wall time,Step,Value
1717195289.7488902,156,0.4643000066280365
1717195298.200771,313,0.5382999777793884
1717195306.721984,470,0.5978000164031982
1717195315.1602662,627,0.6477000117301941
1717195323.5854838,784,0.6449999809265137
1717195331.9863455,941,0.663100004196167
1717195340.4531453,1098,0.7069000005722046
1717195348.9854138,1255,0.7509999871253967
1717195357.4622583,1412,0.7240999937057495
1717195365.8737004,1569,0.7771999835968018
1717195374.6092472,1726,0.7663000226020813
1717195383.1150198,1883,0.7985000014305115
1717195391.7360237,2040,0.7404999732971191
1717195400.2731204,2197,0.781000018119812
1717195408.7492142,2354,0.83160001039505
1717195417.2466266,2511,0.8057000041007996
1717195425.737095,2668,0.7991999983787537
1717195434.171763,2825,0.8335999846458435
1717195442.6462202,2982,0.8501999974250793
1717195451.076348,3139,0.8363000154495239
1717195459.6237307,3296,0.8012999892234802
1717195468.2764258,3453,0.7796000242233276
1717195477.0086312,3610,0.843999981880188
1717195485.7996976,3767,0.8222000002861023
1717195494.3662684,3924,0.8323000073432922
1717195503.0112562,4081,0.829200029373169
1717195511.6674469,4238,0.8628000020980835
1717195520.341344,4395,0.8468000292778015
1717195528.985608,4552,0.8431000113487244
1717195537.557336,4709,0.8733000159263611
1717195546.2426693,4866,0.8658000230789185
1717195554.9075556,5023,0.857200026512146
1717195563.4107904,5180,0.8560000061988831
1717195572.090678,5337,0.8468999862670898
1717195581.1623785,5494,0.8366000056266785
1717195589.838195,5651,0.8501999974250793
1717195598.619187,5808,0.8809999823570251
1717195607.3986351,5965,0.8551999926567078
1717195616.022979,6122,0.8227999806404114
1717195625.0246606,6279,0.8686000108718872
1717195634.0884619,6436,0.8564000129699707
1717195642.9259825,6593,0.8583999872207642
1717195651.5510285,6750,0.8604000210762024
1717195660.4647608,6907,0.8812999725341797
1717195669.4731355,7064,0.8826000094413757
1717195678.226344,7221,0.8596000075340271
1717195686.8959978,7378,0.8694999814033508
1717195695.5720763,7535,0.8568999767303467
1717195704.0917952,7692,0.8687000274658203
1717195712.713395,7849,0.8453999757766724
1717195721.32197,8006,0.8895999789237976
1717195729.8903394,8163,0.8687999844551086
1717195738.4708304,8320,0.8608999848365784
1717195747.1768372,8477,0.890500009059906
1717195755.816255,8634,0.8586000204086304
1717195764.5902052,8791,0.854200005531311
1717195773.5937707,8948,0.8569999933242798
1717195782.4219105,9105,0.8596000075340271
1717195791.0381637,9262,0.8816999793052673
1717195799.8351371,9419,0.886900007724762
1717195808.4129293,9576,0.8655999898910522
1717195817.2055087,9733,0.8880000114440918
1717195825.979762,9890,0.8939999938011169
1717195834.5770612,10047,0.8835999965667725
1717195843.3332932,10204,0.8655999898910522
1717195852.5101035,10361,0.8809999823570251
1717195861.690934,10518,0.8754000067710876
1717195870.3889012,10675,0.8791000247001648
1717195879.7208297,10832,0.8766000270843506
1717195888.6944554,10989,0.9068999886512756
1717195897.8268228,11146,0.8867999911308289
1717195906.7752738,11303,0.8914999961853027
1717195915.9601986,11460,0.8813999891281128
1717195924.8257372,11617,0.8960999846458435
1717195933.7389174,11774,0.8865000009536743
1717195942.4431524,11931,0.9067000150680542
1717195951.3492525,12088,0.8924000263214111
1717195960.1587217,12245,0.9020000100135803
1717195968.762386,12402,0.8937000036239624
1717195977.2675676,12559,0.9133999943733215
1717195985.8847024,12716,0.9021000266075134
1717195994.5126934,12873,0.9150000214576721
1717196003.0532749,13030,0.9075999855995178
1717196011.6923916,13187,0.9115999937057495
1717196020.7212615,13344,0.9197999835014343
1717196029.3792884,13501,0.9205999970436096
1717196037.952952,13658,0.9017999768257141
1717196046.781137,13815,0.9235000014305115
1717196055.8439534,13972,0.9225000143051147
1717196065.1307428,14129,0.9289000034332275
1717196073.9831004,14286,0.9253000020980835
1717196082.5999687,14443,0.9327999949455261
1717196091.1580827,14600,0.9351000189781189
1717196099.819999,14757,0.9340999722480774
1717196108.8371787,14914,0.9387999773025513
1717196117.402077,15071,0.9390000104904175
1717196125.9416351,15228,0.9351999759674072
1717196134.6562521,15385,0.9416000247001648
1717196143.3607347,15542,0.9447000026702881
1717196152.1690824,15699,0.9449999928474426
